turn_id,pause_index,p_eot
en__000,0,0.3736
en__000,1,0.4252
en__000,2,0.4629
en__000,3,0.4928
en__001,0,0.4144
en__001,1,0.5540
en__002,0,0.4044
en__002,1,0.4987
en__002,2,0.5375
en__002,3,0.5726
en__002,4,0.5245
en__002,5,0.5958
en__002,6,0.4507
en__003,0,0.4652
en__004,0,0.4699
en__004,1,0.4805
en__005,0,0.2550
en__005,1,0.4818
en__006,0,0.3258
en__006,1,0.4968
en__006,2,0.6073
en__007,0,0.3088
en__007,1,0.4694
en__007,2,0.4673
en__007,3,0.3655
en__007,4,0.4588
en__007,5,0.3755
en__007,6,0.4504
en__008,0,0.2859
en__008,1,0.5403
en__008,2,0.4745
en__008,3,0.6197
en__009,0,0.3204
en__010,0,0.3807
en__010,1,0.5467
en__011,0,0.4738
en__012,0,0.3798
en__012,1,0.3151
en__012,2,0.4589
en__013,0,0.4150
en__014,0,0.3896
en__014,1,0.5696
en__015,0,0.3205
en__015,1,0.4585
en__016,0,0.3642
en__016,1,0.5928
en__016,2,0.5049
en__017,0,0.5252
en__017,1,0.5442
en__018,0,0.3689
en__018,1,0.4606
en__018,2,0.4504
en__018,3,0.4215
en__018,4,0.4192
en__018,5,0.4828
en__019,0,0.4397
en__020,0,0.2994
en__020,1,0.4197
en__020,2,0.6361
en__021,0,0.4656
en__022,0,0.4658
en__022,1,0.6275
en__023,0,0.3071
en__023,1,0.3663
en__023,2,0.4929
en__024,0,0.2850
en__024,1,0.4621
en__024,2,0.5032
en__025,0,0.4500
en__026,0,0.3265
en__027,0,0.4978
en__027,1,0.6606
en__028,0,0.3712
en__028,1,0.4691
en__029,0,0.4123
en__029,1,0.4970
en__029,2,0.5593
en__030,0,0.4293
en__030,1,0.5311
en__030,2,0.5618
en__030,3,0.5066
en__030,4,0.5937
en__031,0,0.4845
en__032,0,0.3378
en__032,1,0.5218
en__033,0,0.3915
en__034,0,0.3319
en__034,1,0.5547
en__035,0,0.4400
en__035,1,0.5907
en__035,2,0.6263
en__036,0,0.3534
en__036,1,0.4453
en__036,2,0.4321
en__037,0,0.4278
en__037,1,0.5203
en__037,2,0.5293
en__037,3,0.5468
en__038,0,0.3336
en__038,1,0.3462
en__038,2,0.4263
en__038,3,0.4221
en__039,0,0.3201
en__039,1,0.3921
en__039,2,0.4862
en__040,0,0.4259
en__041,0,0.4710
en__042,0,0.2956
en__042,1,0.3034
en__042,2,0.3670
en__042,3,0.3791
en__042,4,0.4543
en__043,0,0.5459
en__044,0,0.5190
en__044,1,0.5996
en__044,2,0.6803
en__045,0,0.2875
en__045,1,0.4675
en__046,0,0.2419
en__046,1,0.3236
en__046,2,0.4747
en__047,0,0.4605
en__048,0,0.3713
en__048,1,0.5676
en__049,0,0.3016
en__049,1,0.4564
en__049,2,0.5325
en__049,3,0.5410
en__049,4,0.6151
en__050,0,0.3423
en__051,0,0.4078
en__051,1,0.6025
en__051,2,0.6519
en__052,0,0.3495
en__052,1,0.5815
en__052,2,0.6161
en__053,0,0.4393
en__053,1,0.5436
en__054,0,0.4504
en__054,1,0.5921
en__055,0,0.3745
en__056,0,0.4564
en__057,0,0.4397
en__058,0,0.5428
en__059,0,0.3309
en__059,1,0.4957
en__059,2,0.5475
en__060,0,0.4001
en__060,1,0.5424
en__061,0,0.5626
en__061,1,0.5920
en__061,2,0.5789
en__062,0,0.6068
en__063,0,0.4352
en__063,1,0.6191
en__064,0,0.4441
en__064,1,0.7054
en__065,0,0.3476
en__065,1,0.4472
en__065,2,0.5078
en__066,0,0.4098
en__066,1,0.4373
en__067,0,0.3089
en__067,1,0.6716
en__067,2,0.6572
en__068,0,0.4107
en__068,1,0.3956
en__068,2,0.5214
en__069,0,0.3147
en__069,1,0.5830
en__070,0,0.2627
en__070,1,0.3483
en__070,2,0.4208
en__070,3,0.4177
en__070,4,0.4567
en__070,5,0.5192
en__070,6,0.4933
en__071,0,0.4522
en__072,0,0.4177
en__073,0,0.3593
en__073,1,0.4869
en__074,0,0.5735
en__075,0,0.4387
en__076,0,0.5260
en__077,0,0.3285
en__077,1,0.5721
en__077,2,0.4781
en__078,0,0.3155
en__079,0,0.4688
en__079,1,0.5933
en__080,0,0.3385
en__080,1,0.3290
en__080,2,0.4471
en__080,3,0.5084
en__080,4,0.4666
en__080,5,0.5548
en__081,0,0.2839
en__081,1,0.4699
en__081,2,0.3871
en__081,3,0.4490
en__081,4,0.5490
en__082,0,0.5356
en__082,1,0.5997
en__083,0,0.3444
en__083,1,0.5100
en__083,2,0.5039
en__084,0,0.5436
en__085,0,0.3761
en__086,0,0.3323
en__086,1,0.4725
en__086,2,0.5316
en__087,0,0.3451
en__088,0,0.3598
en__088,1,0.6057
en__089,0,0.4132
en__089,1,0.4179
en__090,0,0.4421
en__090,1,0.5682
en__090,2,0.5681
en__090,3,0.5580
en__091,0,0.4827
en__091,1,0.4343
en__091,2,0.4258
en__091,3,0.4868
en__091,4,0.4937
en__091,5,0.5363
en__091,6,0.6386
en__091,7,0.6196
en__092,0,0.5242
en__092,1,0.5139
en__093,0,0.3381
en__093,1,0.4039
en__093,2,0.3950
en__093,3,0.3219
en__093,4,0.4544
en__094,0,0.3905
en__094,1,0.6405
en__095,0,0.2147
en__095,1,0.3851
en__095,2,0.4884
en__095,3,0.3887
en__095,4,0.5371
en__095,5,0.4774
en__096,0,0.3223
en__097,0,0.4379
en__097,1,0.4551
en__098,0,0.4031
en__099,0,0.3484
