turn_id,pause_index,p_eot
hi__000,0,0.2161
hi__000,1,0.4987
hi__000,2,0.5822
hi__001,0,0.3112
hi__001,1,0.5049
hi__002,0,0.3688
hi__003,0,0.4776
hi__004,0,0.4084
hi__005,0,0.5012
hi__005,1,0.6045
hi__006,0,0.4400
hi__006,1,0.5725
hi__006,2,0.5209
hi__007,0,0.3645
hi__007,1,0.6257
hi__007,2,0.6223
hi__007,3,0.5410
hi__007,4,0.5767
hi__007,5,0.5922
hi__008,0,0.3949
hi__009,0,0.4412
hi__010,0,0.3097
hi__010,1,0.3670
hi__010,2,0.4867
hi__010,3,0.6152
hi__011,0,0.5066
hi__011,1,0.5682
hi__011,2,0.6420
hi__012,0,0.4142
hi__012,1,0.4422
hi__012,2,0.6594
hi__012,3,0.6641
hi__012,4,0.6030
hi__012,5,0.6313
hi__013,0,0.4455
hi__014,0,0.4352
hi__014,1,0.5958
hi__014,2,0.5066
hi__014,3,0.5165
hi__014,4,0.5020
hi__014,5,0.4881
hi__015,0,0.4131
hi__016,0,0.4452
hi__017,0,0.4610
hi__017,1,0.6223
hi__018,0,0.4550
hi__018,1,0.5534
hi__018,2,0.5606
hi__019,0,0.3755
hi__019,1,0.4643
hi__019,2,0.5425
hi__019,3,0.5449
hi__019,4,0.5280
hi__020,0,0.5126
hi__020,1,0.6825
hi__021,0,0.6004
hi__022,0,0.2918
hi__022,1,0.4455
hi__022,2,0.5268
hi__022,3,0.4759
hi__022,4,0.5785
hi__022,5,0.5256
hi__022,6,0.5821
hi__022,7,0.6110
hi__023,0,0.4499
hi__024,0,0.5311
hi__025,0,0.2914
hi__025,1,0.5359
hi__025,2,0.5288
hi__026,0,0.4815
hi__027,0,0.2848
hi__027,1,0.5415
hi__028,0,0.4465
hi__028,1,0.5577
hi__029,0,0.5414
hi__029,1,0.4558
hi__029,2,0.4473
hi__029,3,0.5029
hi__030,0,0.5448
hi__031,0,0.3229
hi__031,1,0.5498
hi__032,0,0.4452
hi__032,1,0.6714
hi__033,0,0.3639
hi__033,1,0.4165
hi__033,2,0.3918
hi__034,0,0.4662
hi__034,1,0.5876
hi__034,2,0.6278
hi__035,0,0.4962
hi__036,0,0.4705
hi__036,1,0.5157
hi__036,2,0.5268
hi__036,3,0.5571
hi__036,4,0.5934
hi__036,5,0.5622
hi__036,6,0.6476
hi__037,0,0.4618
hi__037,1,0.4113
hi__037,2,0.6166
hi__038,0,0.3524
hi__038,1,0.4176
hi__038,2,0.5577
hi__038,3,0.5694
hi__039,0,0.4747
hi__040,0,0.3896
hi__040,1,0.5105
hi__040,2,0.5785
hi__041,0,0.3865
hi__041,1,0.6277
hi__042,0,0.4751
hi__042,1,0.6763
hi__043,0,0.4265
hi__043,1,0.5666
hi__044,0,0.3558
hi__044,1,0.5663
hi__045,0,0.4564
hi__045,1,0.4929
hi__046,0,0.3712
hi__046,1,0.4596
hi__046,2,0.5788
hi__047,0,0.4424
hi__048,0,0.5433
hi__049,0,0.5791
hi__050,0,0.4542
hi__051,0,0.4755
hi__051,1,0.5620
hi__051,2,0.5897
hi__052,0,0.4108
hi__053,0,0.2960
hi__053,1,0.5211
hi__053,2,0.5921
hi__054,0,0.3535
hi__054,1,0.6547
hi__055,0,0.2975
hi__055,1,0.5415
hi__056,0,0.4440
hi__057,0,0.4688
hi__057,1,0.6241
hi__058,0,0.3038
hi__058,1,0.5561
hi__059,0,0.3676
hi__059,1,0.4391
hi__059,2,0.5946
hi__060,0,0.5741
hi__060,1,0.4907
hi__061,0,0.3820
hi__061,1,0.5588
hi__062,0,0.5813
hi__063,0,0.3877
hi__063,1,0.5880
hi__063,2,0.6640
hi__063,3,0.7247
hi__064,0,0.3816
hi__064,1,0.5725
hi__064,2,0.6429
hi__064,3,0.5510
hi__064,4,0.6276
hi__065,0,0.5072
hi__066,0,0.3437
hi__066,1,0.5026
hi__066,2,0.7009
hi__067,0,0.5094
hi__068,0,0.6080
hi__069,0,0.4787
hi__069,1,0.5897
hi__069,2,0.4757
hi__069,3,0.5252
hi__069,4,0.4968
hi__069,5,0.6444
hi__070,0,0.3420
hi__070,1,0.4414
hi__071,0,0.4013
hi__071,1,0.4715
hi__071,2,0.5604
